City Name,2023_Score_Max10000,2022_Score_Max7500,2020_Score_Max6000,2019_Score_5000,2018_Score,2017_Score,2016_Score
NAGDA,6593.857674418606,5184.14,3612.66,3794.0,2661.0,1213.0,1190.857142857143
KARIMNAGAR,6593.857674418606,4563.07,3602.16,2861.0,2709.0,987.0,1190.857142857143
VAPI,6593.857674418606,4450.44,3583.37,2953.0,3019.0,1558.0,1190.857142857143
SATNA,6593.857674418606,4628.27,3583.19,3382.0597014925374,2605.0,1317.0,1190.857142857143
TENALI,6593.857674418606,2662.48,3576.63,2936.0,2904.4156626506024,1464.0,1190.857142857143
KADAPA,6593.857674418606,4217.6,3559.97,3382.0597014925374,2904.4156626506024,1096.0,1190.857142857143
GODHRA,6593.857674418606,3969.89,3557.97,3382.0597014925374,2904.4156626506024,1422.0,1190.857142857143
SHAHJAHANPUR (NPP),6593.857674418606,4497.37,3538.71,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
MEERUT CANTT.,6593.857674418606,2095.66,3529.31,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
BATHINDA,6593.857674418606,3783.75,3526.68,3520.0,2904.4156626506024,1169.0,1190.857142857143
DAMOH,6593.857674418606,4450.84,3521.89,3012.0,2904.4156626506024,906.0,1190.857142857143
CHITTOOR,6593.857674418606,3433.86,3509.68,3382.0597014925374,2599.0,1321.0,1190.857142857143
Gorakhpur,6593.857674418606,3728.456822612087,3509.45,3382.0597014925374,2904.4156626506024,756.0,1190.857142857143
DURG,6593.857674418606,5361.68,3505.49,3500.0,2972.0,1284.0,1089.0
SILVASSA,6593.857674418606,3314.61,3504.89,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
VIDISHA,6593.857674418606,3206.68,3498.7,3382.0597014925374,2904.4156626506024,1061.0,1190.857142857143
PATIALA,6593.857674418606,4012.44,3467.35,3382.0597014925374,2904.4156626506024,517.0,1190.857142857143
CHHATARPUR,6593.857674418606,4510.37,3450.63,3382.0597014925374,2609.0,1092.7440273037544,1190.857142857143
YAVATMAL,6593.857674418606,4341.61,3431.52,2887.0,2904.4156626506024,924.0,1190.857142857143
ICHHALKARANJI,6593.857674418606,2955.7,3428.19,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
SOUTH DELHI (SDMC),6593.857674418606,4171.07,3422.27,3382.0597014925374,3029.0,984.0,1180.0
NEEMUCH,6593.857674418606,4604.45,3420.91,3314.0,2716.0,1161.0,1190.857142857143
HAZARIBAG,6593.857674418606,3185.77,3416.47,3113.0,2597.0,1269.0,1190.857142857143
HINGANGHAT,6593.857674418606,4688.92,3416.13,3382.0597014925374,2904.4156626506024,657.0,1190.857142857143
HINDUPUR,6593.857674418606,2419.65,3414.74,3382.0597014925374,2904.4156626506024,1086.0,1190.857142857143
ULHASNAGAR,6593.857674418606,3491.8,3409.91,3382.0597014925374,2904.4156626506024,974.0,1190.857142857143
SHIKOHABAD (NPP),6593.857674418606,2596.47,3397.23,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
FIROZPUR,6593.857674418606,4645.1,3389.71,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
AYODHYA,6593.857674418606,3986.09,3375.5,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
GANDHIDHAM,6593.857674418606,2023.12,3372.8,3382.0597014925374,2904.4156626506024,1333.0,1190.857142857143
TADIPATRI,6593.857674418606,3073.39,3368.8,3382.0597014925374,2904.4156626506024,1529.0,1190.857142857143
PORBANDAR,6593.857674418606,3492.94,3364.11,3382.0597014925374,2904.4156626506024,1032.0,1190.857142857143
LANSDOWNE CANTT,6593.857674418606,2662.25,3210.12,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
VARANASI CANTT.,6593.857674418606,2784.43,3148.1,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
JHANSI CANTT.,6593.857674418606,2156.31,3084.71,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
MHOW CANTT,6593.857674418606,5244.16,2980.03,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
